userId,cp_content_id,cp_name,curr_play_time_min,content_series_id,episode_id,playtime,content_series_name,content_category,streams_flag_final,content_season_id,playablecontent_ty,duration_secs,content_t,event_type,user_session_id,playablecontent_epinum,total_play_time_sec,playablecontent_tvsid,playablecontent_sid,episode_number,content_content_type,content_id,play_session_id,day
UyS1watXfZRwjd_Yu0,1090485235,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000196,,0.3723666666666666,CID,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000196_SEASON_2,EPISODE,2640.0,Team CID On A Vacation,play_start,f918dc92-2673-4617-a82f-527f55cd3453-1772036025560,61.0,20.566,SONYLIV_VOD_TVSHOW_1700000196,SONYLIV_VOD_TVSHOW_1700000196_SEASON_2,61.0,EPISODE,SONYLIV_VOD_EPISODE_1090485235,6b204f0b-5b39-4195-bbd7-88afec6d1227,2026-02-25
gFGmexBzVIfPGMbgU0,1090503290,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,55.549150000000004,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,3412.0,"Sajid, Riteish And Tusshar Spin The Wheel",player_log,349dc2e2-97a5-40e9-8202-51e6ba00151d-1772006568375,7.0,3320.853,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,7.0,EPISODE,SONYLIV_VOD_EPISODE_1090503290,4ae0e9aa-d71c-4a55-bfe9-25b6ad15f643,2026-02-25
BAgE8m1KR-JUNGexT0,1090504825,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,0.11058333333333333,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,3051.0,"Adarsh, Anit And Mohit Spin The Wheel ",play_init,15480396-1771963517718,20.0,6.0,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,20.0,EPISODE,SONYLIV_VOD_EPISODE_1090504825,15480396-1771963517718-48264634-1771963520798,2026-02-25
FIBdEg5G4hQA2lIDK0,1090504825,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,50.49113333333334,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,3051.0,"Adarsh, Anit And Mohit Spin The Wheel ",player_log,d84bd4c2-8102-43c9-b1af-fe771bc693f4-1771996718051,20.0,3006.255,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,20.0,EPISODE,SONYLIV_VOD_EPISODE_1090504825,4fd58c3c-01f9-4251-8ac1-0e765a29b76b,2026-02-25
SB2lYaJEOre2QmfK80,1090504825,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,0.6551333333333333,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,3051.0,"Adarsh, Anit And Mohit Spin The Wheel ",play_start,ddae682b-612a-4c88-b80d-6120705a451c-1772009306950,20.0,31.952,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,20.0,EPISODE,SONYLIV_VOD_EPISODE_1090504825,fdd2fc4d-3985-4817-97bc-7d5fa38520f7,2026-02-25
iYR22vzFVRMf520J-0,734,ADDATIMES,0.0,ADDATIMES_TVSHOW_59,,0.18596666666666667,'ক্ষ্যাপা'  'Khyapa',VOD,play_start,ADDATIMES_TVSHOW_59_SEASON_3,EPISODE,1286.0,Khyapa S3|E7,play_session_end,70723392-1772010597357,7.0,11.0,ADDATIMES_TVSHOW_59,ADDATIMES_TVSHOW_59_SEASON_3,7.0,EPISODE,ADDATIMES_TVSHOW_59_SEASON_3_EPISODE_7,70723392-1772010597357-86868709-1772016220179,2026-02-25
jJclxydV-lH1MT8fY0,E6472706-E9F8-4B46-BB8B-73FC4DF35F9D,AHA,0.0,,,56.00013333333333,,VOD,play_start,,MOVIE,8713.0,Maruthi Nagar Subrahmanyam,player_log,64f546ad-0f57-4fd4-8c7f-c5ee7350fd29-1772001902905,,3360.008,,,,MOVIE,AHA_MOVIE_E6472706-E9F8-4B46-BB8B-73FC4DF35F9D,d763f916-27b7-4bd1-9e75-25fbe89d6869,2026-02-25
9gl92NXdCxQyyvIg10,en_movie_855,CHAUPAL,0.0,,,15.143633333333334,,VOD,play_start,,MOVIE,5640.0,Chowkidar Hi Chor Hai,player_log,d562ea35-f330-4ff2-8b4a-6bc5f3770ccc-1772039139707,,908.618,,,,MOVIE,CHAUPAL_MOVIE_en_movie_855,fda4e2c8-39fe-4e54-9921-8d2de801e54a,2026-02-25
U_Fv7RlE2PvREUf0T0,6089864,EROSNOW,0.0,,,19.009083333333333,,VOD,play_start,,MOVIE,9315.0,Ra.One - Tamil,player_log,6cf99bd4-47e6-49b8-9a94-cc1ca90c8879-1772030758481,,1140.545,,,,MOVIE,EROSNOW_MOVIE_6089864,4df5544c-c05a-48b8-ae35-cde7b490affb,2026-02-25
6KeGBSA4AvpnJ0Eor0,cac17aec-e55a-4f56-8ea0-b822b58a6fd3,HOICHOI,0.0,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d,,10.749866666666666,Shakha Proshakha,VOD,play_start,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d_SEASON_1,EPISODE,666.0,⁠Bongshoporichoy,player_log,dd70762a-2a7d-47ef-b2f7-6b286165e2d2-1772006875681,11.0,644.992,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d_SEASON_1,11.0,EPISODE,HOICHOI_EPISODE_cac17aec-e55a-4f56-8ea0-b822b58a6fd3,df7bbd69-af98-4773-b2cd-2b113f68dea5,2026-02-25
